,text,target
97,is do there is useless is answer ,0
98,tri add boy ,2
99,travel miss late miss lost ,0
100,check new ,2
101,direct have unexpect yet peep next bought ,0
102,late just lost miss am apt other had same ,0
103,amaz again raeann best fli ,4
104,call was hung is awesom ,0
105,is trip tri check get text am reluct enter ,0
106,was schedul sfo dal chang th due look still ,2
107,has getaway cool ,4
108,has getaway cool ,2
109,has getaway cool ,4
110,has getaway cool ,2
111,have great ,4
112,come back phl alreadi need take horribl cold ,4
113,be concern am fli need be delay due tech stop ,0
114,is best have flown easi chang help amp comfort fli ,4
115,again kick butt naelah repres so beauti thank ,4
116,beauti front is down right now was cool still back was ,4
117,love run tonight wait delay kept entertain ,4
118,built tech doe not have compat ,0
119,now book is total down is ,0
120,min just connect seem too long ,0
121,outstand nyc move get san francisco ,4
122,have best ever delight ,4
123,do provid complimentari first are avail ,2
124,chang schedul min wait call intern ,0
125,complet awesom last bos las nonstop such awesom ,4
126,watch ,2
127,is cancel flightl do do is ,2
128,are fail doe not link tsa ,0
129,too terribl just gave said ,0
130,has cabo san arriv yet ,2
131,chrysichrys cancel flightl was give hotel ,0
132,delay ,0
133,regist first sfo dull is longer advis ,0
134,rock make so watch ,4
135,drop ,2
136,alway xoxo ,4
137,not buy even so much frustrat ,0
138,think pay extra rt afford hire extra ,0
139,best take ,4
140,find flt is sooner be great ,2
141,pleas indic dude weather here dalla ,0
142,have amaz amp super just ran have spoil ,4
143,paid fli cancel upgrad ,0
144,is not possibl not give want ,0
145,alway have togeth re welcom re so welcom ,4
146,dc back work refresh ,4
147,do not understand need give have damag ,0
148,doe mean do not have destroy ,0
149,is special travel alon infant ,2
150,check are purchas is happi ,4
151,is websit ever come back ,2
152,is sfo definit cancel flightl februari ,2
153,is dfw ,2
154,licens is expir littl fli friday use expir ,2
155,have book keep give contact is minut ,0
156,do reschedul cancel flightl onlin is grey ,0
157,is same fix ,0
158,got were told check is unaccept ,0
159,was cancel flight re stuck call reschedul get ,0
160,do not includ red onli white is offer ,0
161,is websit ,0
162,seem littl wonk right now want have tri ,0
163,disappoint design airport close assist ,0
164,includ arab ,2
165,is normal receiv central smh ,0
166,logan wait checkin am not open ,0
167,jump austin ,2
168,ep take luv daili ,2
169,begin austin ,2
170,just got sfo lax fl sfo was ,0
171,appli ago have not heard back fli disappoint ,0
172,know is damag ,2
173,too mani wors do not even respond ,0
174,make spend strand other are land reimburs ,0
175,pleas have have fli southwest vega ,2
176,too bad say take inquir claim ,0
177,was cancel flightl are rebook ,0
178,ve met got ,4
179,onli fli elev ,4
180,onli guy had ,2
181,be thrown see veri sad worst ever ,0
182,wrong did had worst ever ,0
183,have find miss help find head next ,2
184,match ,4
185,ve met got ,2
186,tri not let lose ,0
187,suck ,0
188,just dm same persist ,0
189,never rec cancel were left fli drive la red ,0
190,tri is ,0
191,have fli be cancel flightl did not do ,0
192,stink cancel flight jfk rebook disappoint expect better ,0
193,love re danc high ,4
194,is down tri check ,0
195,done quick appar faster sit ,4
196,nervous lax get cancel flightl just sent dm help ,2
197,cool wing ,4
198,keep great ,4
199,love are amaz texa fli ny ,4
200,great boston did great go back la now serious ,4
201,pleas get new monday ,2
202,so much awesom guy rock ,4
203,do not reclin mention websit ,0
204,due mechan handl have toss free ,0
205,cancel be scare ,0
206,guy kill reschedul asap ,4
207,guy charg reschedul was then cancel flight are now refus refund ,0
208,not seem work need add ,0
209,click receiv ,2
210,mobil is broken header elevateus numofpointsavail not let checkin ,0
211,was realli look forward let know be reschedul ,0
212,cancel delay airport next cancel flightl email call reschedul ,0
213,did was ,0
214,had chang get dc is abl land not cost ,0
215,was so look forward first was cancel flightl subsequ ,0
216,are put great las pdx show ,4
217,wish afford fli next go back ,4
218,are gon have dc dalla sad ,0
219,just bug ,2
220,hold are bit much ,0
221,have best ever ,4
222,awesom nomin ,4
223,so much ,4
224,tri reset never arriv ,0
225,onli base silicon fcmostinnov ,4
226,veri nice done ,4
227,look forward watch even get bubbl drink ,4
228,is ,0
229,is today jfk cancel flightl ,0
230,are amaz guy ,4
231,is right now pleas fix unus ,0
232,re boston check did not regist fix ,0
233,tri do check is not work tri differ continu ,0
234,great amp help get sort ,4
235,guy sweet airplanemodewason ,4
236,love wait sanfrancisco onli get ice ,4
237,assault not have flown ban file faanew ,0
238,current select select ,0
239,was sever dent miss come san was not ,0
240,easi itinerari impend quick free ,4
241,love see more be inspir becom rt free ,2
242,good there back entir ,4
243,take santa ,2
244,start fli direct las ,2
245,big mpower vipswagbag ,2
246,re do great ad littl improv keep ,4
247,request window confirm got stuck middl not good treat silver ,0
248,grand budapest ,2
249,is miss newsvp next ,2
250,paid direct not have stop exhaust frequent ,0
251,is wrong websit ,0
252,full give earli board too sweet ,4
253,alreadi check so expir ,0
254,not refund upgrad did not want buy first ,0
255,rise financi usa ,2
256,add instead lie flat first ,2
257,see did ,4
258,take ,2
259,know fli ,2
260,inflight make ,4
261,ever just think not get better just do ,4
262,move better is cabin not select disappoint ,0
263,iol ,2
264,fav ,4
265,have hot sweet sfo ,4
266,are guy go start fli pari re welcom ,2
267,is fli am still wait so tell ,2
268,alreadi contact central sent dm is charg was lost ,0
269,is go websit been get ,0
270,left do call ah ,2
271,follow back dm ,2
272,start fli kciairport ,2
273,told check first so that is contact ,2
274,virginatlant have just check sfo lax been told atlant fli get ,0
275,order never came awesom ,0
276,are guy go leav bare call ,0
277,is fli ,2
278,second consecut full ,2
279,funni is broken have miss ,0
280,love do more just do ,4
281,handili exceed ,2
282,appli was wonder guy receiv ,2
283,second ,2
284,give posit increas ,2
285,tri check am ct not work cach ,0
286,gt next few jfk dca ,2
287,madbe check go ,2
288,do guy know are broken ,0
289,say expect choppi nyc due gusti amp ,2
290,love not wait monday most just watch inflight again ,4
291,lost ago iad call give ,0
292,book seem be broken wan na ,0
293,just want see have new plan newark fli do so more ,4
294,probabl inappropri ,4
295,happi spend togeth let do ,4
296,is save right now ,2
297,miss doe standbi ,2
298,were veri understand help thx ,4
299,brought see ,2
300,absolut ,4
301,broken ,0
302,are readi let say togeth noooo ,2
303,itinerari seem be broken ,0
304,not check look load ,0
305,help need urgent old help ,2
306,start hawaii ,2
307,other are less half am stun ,0
308,is happen late such is ,0
309,add sold ,2
310,free back free ,4
311,made ,2
312,pleas contact left sfo tonit am need return ,2
313,was left ,2
314,got keeper ,2
315,is gone ve file promis still central ,0
316,gave rockstar ,2
317,take travel ,4
318,love soft travel san sfo ,4
319,request sever ago onlin have not heard do get help ,0
320,just tri face super broken style do not worri ll keep tri ,0
321,mani follow usa look ,2
322,nice lofti ,2
323,appli got same still guy have drop ball late flight ,0
324,is new go ,2
325,virginatlant help ourprincess usa ,2
326,am so look forward austin ,4
327,was so glad was mention took first few back was transform ,4
328,book uphold do earn statusmatch ,2
329,tri check look is ,0
330,birthday dal dca get ,0
331,sent provid tri again next ,0
332,first fli virgin went sanfrancisco smooth easili new fav ,4
333,serious not be direct sfo ,0
334,fine alreadi done tri just go most then go back ,0
335,not realli was hope ws forc small empti cabin ,0
336,is so slow ,0
337,jump austin ,2
338,offer am loyal fli virginatlant well ,0
339,am deepli disappoint was not appli book mere receiv ,0
340,happen direct look onli see connect help dontdothistom ,0
341,help left rd row second right lax sfo ,2
342,mobil help boost mobil etailwest visa ,2
343,just promot is had recommend noneoth best ,4
344,love pls get direct las aus ,4
345,like pleas ,2
346,turn ,2
347,virginatlant obsess entir ,4
348,first fli tonight ,4
349,dig pink light sfo just cabaret think ,2
350,done need pleas help ,2
351,have emboss superior are current use ,0
352,la dirti not ,0
353,head la dirtiest have ever been great ,0
354,got squar pick as soon tweet have tweet ,4
355,rental continu doe not work tri ,0
356,delay ,0
357,current be cust do need do add lap ,0
358,add instead lie flat first ,2
359,have fun celebr happi chines new ,4
360,book last second next san want gift promo guy ,4
361,is joke pleas constant ,0
362,just did dm do have also add ,2
363,lt bday greet was eastern ,4
364,just bought atx rout ad yr is best transact ever ,4
365,anytim ,2
366,gave late great wow unexpect ,4
367,send ,2
368,submit back still have not heard fli look acceler ,0
369,had love first cross livewelltravel ,4
370,doe not look fat look yummi ,4
371,say southwest have stray low ,2
372,brilliant am ,2
373,atlant lone ,2
374,atlant lone ,2
375,atlant lone ,2
376,omg nonstop austin ,4
377,are realli pretti just thought know ,4
378,are fli hawaii ,2
379,pull tri doe not work ipad do not have ,0
380,get been incid ,0
381,good be home moodlight ,4
382,not even open paid here ,0
383,am not even open laptop paid ,0
384,onli guy were start still trip ,2
385,been need make austin now ve come ,4
386,announc new austin ,2
387,realli sprint guy were ,2
388,is too cool never been ur now ,4
389,have ,2
390,great well deserv ,4
391,fyi say contact doe not exist bounc ,0
392,have gone flt next hope count requir ,0
393,donkey just thought know best ,0
394,still develop then be favorit ,2
395,is watch uk ,0
396,got set ,4
397,onli is virgin mobil mexico do integr ,2
398,made ,4
399,also see friday nwk ,4
400,come do not have still use make wast ,0
401,doe not accept have ,0
402,vx use lga instead ad aus make less like ,0
403,is help step tinderchamp ,2
404,luv ur is do herbal not black not caffein ,4
405,see soon excit see spread ,4
406,new nonstop amp dallaslovefield ,2
407,add love ,2
408,learn no longer fli sfo return ,0
409,tweet cancel rebook are ,2
410,has most incred ever experienc so refresh ,4
411,now see virginamerica come philadelphia ,2
412,am dream did realli just open doe mean be next ,4
413,final ,4
414,start xweek dalla ,2
415,nice see expand do not forget here love see more here ,2
416,suck did not work want look futur ,0
417,veri poor first now seat stuck miss ,0
418,usatoday ,2
419,make ,4
420,awesom dal onli ,4
421,miss san ,2
422,love take win ,4
423,is fli austin now is most excel ,4
424,make nerdbird austin be onli get nerd love ,2
425,pleas add more pdx ,2
426,vx new ,4
427,tri offer charg addit new be strand st last ,0
428,help get old need ,2
429,never had bad took now well ,0
430,had spend worri be broken stolen not carri ,0
431,was told was more got was least ,0
432,make jfk forc check ,0
433,have not work ve been wait ,0
434,am artisan ,4
435,doe virgin america fli direct nyc boston ,2
436,sure go lot faster strong ,4
437,now just open ,4
438,save am ,2
439,is take fli dalla get togeth ,0
440,is bump new ,2
441,have been rough luckili were virginamerica ,4
442,is ,2
443,pleas come minneapoli ,2
444,yes fyi ,2
445,perfect come stay down other make rais ,4
446,nice rt be faster have wifi just say ,4
447,love littl richard ,4
448,do not use still love lt just use ,4
449,free are ,4
450,do have was look onli saw virgin ,2
451,more more too ,0
452,so much share just ad ,4
453,good ,2
454,has virgin mobil ,2
455,got chees too ,2
456,is best whole ,4
457,are there short defiant fli guy ,4
458,better ,4
459,come is onli do not have ,2
460,start scold use overhead was then offer seat next ,0
461,not onli was great return not ask more ,4
462,other were not cancel flight help get was say good ,0
463,dear re strand amp cost ll do veri least accommod ,2
464,use next commerci ,2
465,group now bos has expos actual never book again ,0
466,affect shock complet apathi ,0
467,so no is is there differ contact contact get definit ,0
468,tri make not just prior tri onlin earlier want ,0
469,so loyal drive nyc fli cut philli ,4
470,chang main main same pay ,2
471,are perfect alway lt ,4
472,have best left ,4
473,give silver ,2
474,realli wish fli are ,4
475,light reclin kickin ,0
476,schedul still say long ,0
477,got cancel waiv not becaus is book were either ,0
478,are there enrol ,2
479,just got newark la are incred ,4
480,have regard amp dm ,2
481,still wait see starryey ,2
482,was wonder guy reciev re abl potenti respond ,2
483,fli sfo look awesom actual wish was long ,4
484,take happi ,4
485,still dm resolv cancel flightl was useless ,0
486,delay due lack now delay again long deic still need improv unit ,0
487,fill is common ,4
488,are huge popular now onli have eri ,0
489,even intern then newark ,2
490,think board too earli think so ,0
491,tough is get serious steep ,2
492,hook altern have prevent constant rock ,0
493,fli few long do have be intern domest ,2
494,is same ,4
495,not is ,2
496,is worst nonrefund first oh select global fc ,0
497,so buy tix not transfer flaw flaw ,0
498,did start is unrealist am realli suppos go long ridicul ,0
499,follow pleas is beautiful ,4
500,not sure unit have ,2
501,is lost just reimburs new is not ,0
502,just submit sent ,2
503,yes david send ,2
504,total suck work said ,0
505,just want let know wonder rosetta was work ase let know wasappreci ,4
506,yes got januari ,2
507,call unit said send never got tiredofwait ,0
508,is great am email mayb respond time ,0
509,do use unit old come ,2
510,am suppos do ,2
511,weak see ya ,0
512,back other unit have earlier ,0
513,lost was given did not use ,2
514,am tri need not show even mani award availab ,0
515,sure did had drive get own explain want talk ,0
516,like almost care more think more have trust ,2
517,were told repeat was late kept get late board was ,0
518,prefer did not pull silverairway spoil ,0
519,newarkliberti indic differ amp flyingainteasi ,0
520,yes am newli marri tri updat last preexist intern seem so easi ,0
521,doe unit reissu lost voucher did not take due ,0
522,also was instruct do shatter ,0
523,yes ve been last have been veri rude thank ladan has been nice ,0
524,overnight ,2
525,have have claim amp be taken ,2
526,am tri find is new use use is illeg accord ,2
527,dmed ,2
528,charlott non exist ignor then inappropri touch ,0
529,also let know overhead was inop love good ,2
530,got need austrian longer ,4
531,have love respond saw realli long new are bad ,0
532,differ is veri inconveni ,0
533,then have not receiv been infant am suppos go anywher ,0
534,again contact ,2
535,well sit wait again tiredofthi ,0
536,snow remov keep good is cessna becom ,4
537,guy not not just els move forward ,0
538,measli is not appreci loyal wait ua unaccept ,0
539,email usernam be avail been ,0
540,am abl claim interim is ,4
541,not get board austrian incl am stuck ,0
542,receiv other unit truli break unitedbreaksguitar ,0
543,just flew telaviv paid third did not even make impolit ,0
544,is still colo am disabl have search unfamiliar not good ,0
545,transfer even call is not enough ,0
546,said do not handl made colo gave call there either ,0
547,guy need serious too mani better put guy handl ur ,0
548,dca ,2
549,onc found had avoid was told not find ,0
550,cancel connect is not help help gf wait see ,0
551,not be fli again ,0
552,first was delay late ,0
553,cancel flight did not rebook ad now have drive kc ,2
554,board onli address requir travel do preboard ,2
555,flew unit last was awesom ,4
556,book thru unit dept okc ticket less will help ,0
557,upset told was carri medic was veri rude ,0
558,quick do not think assist be put consider ,0
559,accompani old activ militari had have ,0
560,getmeontop late still have not receiv starbuck hand ,0
561,alway hope ,0
562,not yet complain check was throw unfortun ,0
563,mclarren sp less not find ,0
564,mobil need up expens get right ,0
565,unit less care less american here come ,0
566,also had work good land ahead have use ,4
567,is not control rather verizonwireless is new ,2
568,just sent tell have break sincer hope help ,0
569,silli fli delta unit club are sur unhelp alway seem bother ,0
570,is not find call about ,0
571,well not fix miss th bday attempt make ,0
572,am believ help not like said want fix did ,0
573,help said bc was down fll not made bag be ,0
574,mobil board disappear stand second ,0
575,was love help ,4
576,was last ,2
577,had explain veri eager tri ask was not guid ,0
578,ask doe not read continu ,0
579,tri was avail was rude was stuck guy ,0
580,worstunitedflightsev ua iad mechan again took had land fix delay again ,0
581,not make newark good inform track help ,4
582,go ua last was delay hrs long be ,0
583,ua las mechan switch aircraft delay ,0
584,crash tri check ,0
585,wow again avail easi make happi ,4
586,alreadi knew ,2
587,not get good negoti ,2
588,logan board gong due lax full need better ,0
589,blackmail pay extra have nullifi san francisco terribl ,0
590,is reach too long ,2
591,disappoint honor given ur take elsewher ,0
592,still wait suppos depart ,0
593,was last never came ,0
594,now been wait hear gave quit bit more request terribl ,0
595,doe ever end still wait pathet ,0
596,go websit been boot umpteen ,0
597,do get say is unavail ,0
598,so do need fli unaccompani ,2
599,receiv last am still miss other ,0
600,ll need upgrad too even sit ,0
601,babi hannah get save requir need pls ,2
602,wont honour ,2
603,nd also delay board is just sit here schedul ,0
604,too much ,2
605,hard stay upset least show ,0
606,simpl goe long even hollow obvious do not care be ,0
607,is not shock repeat ,0
608,cross intact veri disappoint were actual say enjoy use ,0
609,incred easi rather stay get forc ,0
610,have zero have caus ,0
611,is sit book bought ,0
612,not sure are talk is go nonstop sfo then sfo ewr ,0
613,be becaus move ,0
614,be good ,2
615,ask legitim local got back do better ,0
616,call need go get more faith unit ,0
617,see are again amaz continu make yet fail be held account ,0
618,french ,2
619,alway unit have intern have ,0
620,probabl work ,2
621,then again mayb care more hear went listen caus ,0
622,share produc realli tell ,0
623,so re tell is call be left neglig ,0
624,email be resent doesnt appear have arriv ,0
625,yes pleas tri get pop now ,2
626,have follow dm come now ,0
627,unit make broken serious ridicul ,0
628,did not drop overnight now leav is were suppos hold ,0
629,did dm still have ,0
630,know is probabl is there get cheaper is leav few ,2
631,pleas explain happen found leav ,2
632,not abl dm ,0
633,sent let know got not veri twitter also is realli go be stuck ,0
634,veri unhappi complaint email nd aw ,0
635,doe not work do do ,2
636,privat have been cool doe not work ll tri again ,4
637,were not given use unit recent book use recoup ,0
638,common keep readi do not delay ,0
639,about ,2
640,correct got am was cancel flightl doe not matter now is delay ,0
641,had get iah sent make let know ,0
642,done done ,2
643,just sent ,4
644,ground ua am miss st help do have privat ,0
645,so frustrat nervous ,0
646,are make difficult ,0
647,not child has fli ahead reduc caus ,0
648,doe get cancel flightl take ,0
649,alway happen make travel incred stress uncomfort is good ,0
650,so doe sever do help is not next ,0
651,seek go get need fill not confid work is ,0
652,seem be easili attain is st realli onli worth ,2
653,has unrival california uk nonstop ,4
654,book award not see just unit book get get ,2
655,luckili made was so disappoint ,0
656,check see got cancel flight ,0
657,so far has been horrid want end high not ,0
658,book ago request togeth got middl unaccept ,0
659,are horribl ,0
660,do have pay intern ,0
661,top ve lost get wors ,0
662,not cancel flightl unit usual first panic ,4
663,has been broken youcouldntmakethi ,0
664,is ord current see advisori be affect ,2
665,mayb ll be quot ,0
666,delay rememb turn leav serious ,0
667,awesom new extrem nice steve connolli ,4
668,speak real get resolv polit effici ,0
669,had not file was told was is disput like ,0
670,did make iad second is pretti re pretti curious ,0
671,unit is never know old be oper ,4
672,henc been ask so speak real get sort ,0
673,did leav yet be conveni see left ,0
674,so fli st just chicago not long china am still abl use ,2
675,accord not owe be provid contact file ,0
676,ago need work make here need go elsewher ,0
677,okay ,2
678,file have call is there do ,2
679,proper train request speak was transfer dead not even open ,0
680,rememb load connect forgot iceland be fun ,0
681,chees just flew ,4
682,is atroci have disrupt have lost is imposs talk human ,0
683,have open am esp are am earli recommend not eat ,0
684,was ua now current stuck miss ,0
685,has not respond various contact doe know uk ,0
686,look get lusaka ,0
687,updat pleas told was told have ,0
688,been tri set ,4
689,just last not be charg transatlant ,0
690,wait shower then left find know mani carri plan ,0
691,final pleas let know els need want confirm ,2
692,complet use doe not care now be sure ua not feel ,0
693,definit compliment realli thought was lost was sent am happi ,4
694,so much follow email do care ,4
695,definit be rememb ewr sti first pay be loyal ,4
696,told was go sleep even assur get ,0
697,keep updat let know make burg ,2
698,back expens work pay ruin want amp origin back ,0
699,unit actual like own back have done also want ,0
700,frank wors ever happen deal never again unit ,0
701,still valid just seem strang delay late crew now is alreadi here ,0
702,can ,0
703,too bad has had unforese oper ,0
704,like know go current ,2
705,be deliv arriv have wait addit ,0
706,so feel are be held has not leav ,0
707,are great ,4
708,lbs return is logic am write human requir ,0
709,do not hear had poor ,0
710,cancel just left fend came late get blame previous ,0
711,is not local unit is local unit here ,2
712,okay find ,0
713,met said have be taken onlin ,0
714,urgent narayanan also local unit ,2
715,guy be get soon ,2
716,are not ladi say aviv unit say newark know have ,0
717,melaniespr ll see do kn are run most is run ,4
718,still now answer mani have not had unaccept ,0
719,is go do just alway do ,0
720,are offer fail ,0
721,get pretti tire solv miss ,0
722,bright be keep was made hope re have good ,0
723,do ,2
724,take here work hard help so far fail ,0
725,arriv late now sit move unhappi ,0
726,is absolut worst have are do neveragain ,0
727,want fix is current respond most ,0
728,just flew unit aus cancun intl best ever are not too big not too small ,4
729,frustrat frequent continent upgrad pay more ,0
730,deep ,2
731,not figur pack screw then claim san strand go ,0
732,delay ,0
733,hey doe pos leav so late iah so earli rather get pos earlier ,0
734,lost is broken promis call amp found now re wake am ,0
735,have been veri help see is there austin still sit here ,0
736,unfortun still definit miss ,2
737,regret hear let know need assist kn was final abl secur ,0
738,doe check open newark ,2
739,good know open close premier delay annoy ,0
740,sent ,2
741,get phoenix alreadi delay bullshit ,0
742,was stellar just not encount ,0
743,tell somehow made did not have wait ,4
744,unfortun was xmas look rip right ,0
745,ask ,4
746,lost cancel flightl delhi poor unit stress name ,0
747,yes doe not make mistak less absurd doe not chang veri inconveni miss ,0
748,constant have amp prevent have pay ,0
749,wait left gate came sarcast said good walk away ,0
750,follow back ll happili dm rather not public ,2
751,too ,4
752,is favorit ,4
753,serious fail make ,0
754,luke not ,2
755,need here asap make ,0
756,split now not cancel wks ,0
757,go be ruin is near origin help ,2
758,sent let know ,2
759,make ,0
760,tri call too min mean miss anyway ,0
761,ask bwi wait get delay san pretti pleas ,0
762,re still wait find is work hard most upset have wait get mammoth ,0
763,earli think is appropri review nada next expect full ,0
764,understand ,2
765,again call get fix tweet bs stall onli make wors ,0
766,go miss pleas unit ,0
767,high unprofession overbook amp feel rearrang ,0
768,well consid claim were unabl help els more hear ,0
769,not wait now thank re ,4
770,total understand larg are face overnight cancel seem ,0
771,cancel flightl get email am happen courtesi had diff ,0
772,let find ,0
773,better train appropri consid revisit terribl provid ,0
774,well is set low are realli good chang guy learn ,0
775,was just more unit was simpl bad doe not spoil ,2
776,guy continu impress ,4
777,have make need handl email ,0
778,pleas am ethiopia adopt old have exist add ,2
779,are there onboad volt so ,2
780,deserv new ,0
781,ef re miss full ski due ,0
782,is not let ,2
783,so too ,2
784,help finish then walk is as shock am ,0
785,was exact same again check was appar taken amp chicago pretti ridicul ,0
786,not encourag have ,0
787,yes did file as soon stop got not sched ,0
788,travel enough know chang lose make ,2
789,have manual enter realli worst cust ,0
790,tell is delay then tell again spare do not say delay re sure ,0
791,is never made ,0
792,is ,2
793,late denver late newark not even get was check unaccept ,0
794,has onc again let do not think ever flown not had worst ,0
795,yes file receiv am ridicul had purchas go sleep amp ,0
796,ua are be load late cabin fall apart upgrad long haul ,0
797,never serv not onc check give ua ,0
798,balanc appar down systemwid major unit was ,0
799,unschedul miss connect home look big ,0
800,rectifi guy go quiet ,0
801,ua sit ewr near sked say leav help ,0
802,so just end come travel liter extra ,0
803,made upgrad fli st first ever statusmatchpaidoff ,4
804,not just refund are get free make make sleep ,4
805,been fun ,4
806,receiv also look be left arriv ask be refund ,0
807,updat has wifi devic do not get charg ,0
808,was scan just ask was go ,0
809,even think ,0
810,veri frustrat have wast now due ,0
811,are stop give took just ridicul keep updat ,0
812,been ve offer so assum poor is now ,0
813,terrif mani look forward be had great up vancouv ,4
814,result amp check suspect investig wast ,0
815,taken respond request not work get ,0
816,appreci get ,4
817,correct ve spent tri onli receiv click final ,0
818,was not finest have been prevent advis ,0
819,is real vega ,0
820,madrid arriv agent sent fro ua was rude unhelp ,0
821,again bad are fli there such ,0
822,delay last current sit ,0
823,reboot need pivotalcf tire sit ,2
824,shaki look ll get great was touch go ,4
825,howev is complet was still is display ,0
826,gate was other was go chicago ,2
827,tell file had be purchas ,0
828,comic were unit board adjac not clear ,0
829,is ,0
830,do contact discuss few poor give shot ,0
831,ua not constant random ,0
832,been tri file ,0
833,send bad send back generic yet never fli again ,0
834,left burgundi light did find ,2
835,here is refund unnecessari upgrad ,0
836,is horribl lost expect use loner say illeg use use ,0
837,mandarinjourney love tri offer too kp ,2
838,need more have great pj not includ ,2
839,do not care show wrong amp ensur ,0
840,do have lie flat pdx ,2
841,need get home re tell ll be th is be done ,0
842,is waiv premier pleas see jp ,0
843,wonder final have did catch earlier origin just land ,0
844,dmed thank ,0
845,ll be touch ,4
846,karen amaz found lost made ,4
847,late has not left unit is not help tell differ ,0
848,do direct reno begin do not see ,2
849,continent ,2
850,assist current am ,2
851,left contact ,4
852,do lose check bag ord direct ,0
853,caught earlier ord check ve lost hare origin frustrat ,0
854,yes so much see spoke ve reinstat ey ,4
855,front never heard laugh hard ,4
856,pleas follow miss ,0
857,be clear luggag am referenc attach jac ,2
858,are great ,4
859,left have been call non has been answer pleas help ,0
860,awesom next decemb other want devalu ,4
861,good call speak fix did ,0
862,secur veri help dorn thank goodenoughmoth ,4
863,well tell denver still ,0
864,ua club here use canada fli ua ,2
865,is mexico not intern ,2
866,divert miss connect was just told is msi onli had care ,0
867,male canadian take announc not help rebook ,0
868,just want go did cancel last ,0
869,stress rude overwhelm den sever not pretti is ,0
870,land last travel was rough ,0
871,cancel flightl then use reserv iah reflight ,0
872,just sent dm reflight is need ey ,2
873,has made fli other wait late ,0
874,so do provid overnight am cozi ohar gross anyonether ,2
875,also mere have go onlin issu call talk direct is good ,0
876,flew ,4
877,have deal say otherwis ,0
878,now was gone got ,0
879,proper were look delta handl ,0
880,is terribl stood late still ,0
881,pleas list ,2
882,are inadequ ,0
883,intern ,4
884,respond so quick help ,4
885,show start show had check ,0
886,let know not help rebook delay den ,0
887,nonwork is worth ,0
888,doe not work ,0
889,did have seen dc hear read goodnight now ,2
890,search bom not find singl is saver see play earn not use ,0
891,arriv earli then have wait ,0
892,not even call confirm is ,0
893,got ta do get bought mean ex need girl ,2
894,are sign watch wait ,2
895,still wait hear was stolen so appreci here ,0
896,love get back austin do not wish wait til ,2
897,has lost heard differ differ has said ,0
898,think repair done be interest travel exp worst ever ,0
899,have tuesday far give cancel flightl ,2
900,am sign is first was not updat not sure happen ,0
